year,month,CPI,CPI_Inflation,avg_HPI,long_term_interest,federal_funds_rates,budget_on_education,gdp,population,employed_percent,unemployed_percent,lowest,second,third,fourth,top_5_percent
1976,1,55.6,0.18,,7.74,4.87,9314,1877587,156150,56.8,7.7,21232,39557,60258,86695.0,137486
1976,2,55.8,0.36,,7.79,4.77,9314,1877587,156150,56.8,7.7,21232,39557,60258,86695.0,137486
1976,3,55.9,0.18,,7.73,4.84,9314,1877587,156150,56.8,7.7,21232,39557,60258,86695.0,137486
1976,4,56.1,0.36,,7.56,4.82,9314,1877587,156150,56.8,7.7,21232,39557,60258,86695.0,137486
1976,5,56.5,0.71,,7.9,5.29,9314,1877587,156150,56.8,7.7,21232,39557,60258,86695.0,137486
1976,6,56.8,0.53,,7.86,5.48,9314,1877587,156150,56.8,7.7,21232,39557,60258,86695.0,137486
1976,7,57.1,0.53,,7.83,5.31,9314,1877587,156150,56.8,7.7,21232,39557,60258,86695.0,137486
1976,8,57.4,0.53,,7.77,5.29,9314,1877587,156150,56.8,7.7,21232,39557,60258,86695.0,137486
1976,9,57.6,0.35,,7.59,5.25,9314,1877587,156150,56.8,7.7,21232,39557,60258,86695.0,137486
1976,10,57.9,0.52,,7.41,5.02,9314,1877587,156150,56.8,7.7,21232,39557,60258,86695.0,137486
1976,11,58.0,0.17,,7.29,4.95,9314,1877587,156150,56.8,7.7,21232,39557,60258,86695.0,137486
1976,12,58.2,0.34,,6.87,4.65,9314,1877587,156150,56.8,7.7,21232,39557,60258,86695.0,137486
1977,1,58.5,0.52,,7.21,4.61,10568,2085951,159033,57.9,7.1,21187,39906,60827,88680.0,140409
1977,2,59.1,1.03,,7.39,4.68,10568,2085951,159033,57.9,7.1,21187,39906,60827,88680.0,140409
1977,3,59.5,0.68,,7.46,4.69,10568,2085951,159033,57.9,7.1,21187,39906,60827,88680.0,140409
1977,4,60.0,0.84,,7.37,4.73,10568,2085951,159033,57.9,7.1,21187,39906,60827,88680.0,140409
1977,5,60.3,0.5,,7.46,5.35,10568,2085951,159033,57.9,7.1,21187,39906,60827,88680.0,140409
1977,6,60.7,0.66,,7.28,5.39,10568,2085951,159033,57.9,7.1,21187,39906,60827,88680.0,140409
1977,7,61.0,0.49,,7.33,5.42,10568,2085951,159033,57.9,7.1,21187,39906,60827,88680.0,140409
1977,8,61.2,0.33,,7.4,5.9,10568,2085951,159033,57.9,7.1,21187,39906,60827,88680.0,140409
1977,9,61.4,0.33,,7.34,6.14,10568,2085951,159033,57.9,7.1,21187,39906,60827,88680.0,140409
1977,10,61.6,0.33,,7.52,6.47,10568,2085951,159033,57.9,7.1,21187,39906,60827,88680.0,140409
1977,11,61.9,0.49,,7.58,6.51,10568,2085951,159033,57.9,7.1,21187,39906,60827,88680.0,140409
1977,12,62.1,0.32,,7.69,6.56,10568,2085951,159033,57.9,7.1,21187,39906,60827,88680.0,140409
1978,1,62.5,0.64,,7.96,6.7,11625,2356571,161910,59.3,6.1,21847,41308,62501,90900.0,145420
1978,2,62.9,0.64,,8.03,6.78,11625,2356571,161910,59.3,6.1,21847,41308,62501,90900.0,145420
1978,3,63.4,0.79,,8.04,6.79,11625,2356571,161910,59.3,6.1,21847,41308,62501,90900.0,145420
1978,4,63.9,0.79,,8.15,6.89,11625,2356571,161910,59.3,6.1,21847,41308,62501,90900.0,145420
1978,5,64.5,0.94,,8.35,7.36,11625,2356571,161910,59.3,6.1,21847,41308,62501,90900.0,145420
1978,6,65.2,1.09,,8.46,7.6,11625,2356571,161910,59.3,6.1,21847,41308,62501,90900.0,145420
1978,7,65.7,0.77,,8.64,7.81,11625,2356571,161910,59.3,6.1,21847,41308,62501,90900.0,145420
1978,8,66.0,0.46,,8.41,8.04,11625,2356571,161910,59.3,6.1,21847,41308,62501,90900.0,145420
1978,9,66.5,0.76,,8.42,8.45,11625,2356571,161910,59.3,6.1,21847,41308,62501,90900.0,145420
1978,10,67.1,0.9,,8.64,8.96,11625,2356571,161910,59.3,6.1,21847,41308,62501,90900.0,145420
1978,11,67.4,0.45,,8.81,9.76,11625,2356571,161910,59.3,6.1,21847,41308,62501,90900.0,145420
1978,12,67.7,0.45,,9.01,10.03,11625,2356571,161910,59.3,6.1,21847,41308,62501,90900.0,145420
1979,1,68.3,0.89,,9.1,10.07,13996,2632143,164863,59.9,5.8,22108,41059,63170,91592.0,148001
